Name,Content,Type
A074,Recently placed a second order in November  with plenty of time for the items to arrive before Christmas Was hoping to sell these on my site  and make some Christmas sales as a small business owner When the order arrived  over 50 items were defective  and were unfit to sell After contacting their resolutions line  they were quick and hassle free to offer replacements Although since this offer  the customer service has been terrible I was told they would ship out last Friday  but they wont reply to me to confirm if thats happened  if they have started making the replacement items  or provided any tracking information So Im left waiting  wondering  if and when my items will arrive Which clearly wont be in time to sell before Christmas Quite frustrating,Entripy Custom Clothing
A075,After reviewing this shop I got a call from customer service who talked to me about my issues and fixed the problem Thanks so much Kim  I really appreciate your patience and responding quickly to me Received sweatshirt in a timely matter but was not correct Will only communicate through email telling me I didnt search the proper logo when on my end there is no where to search it Very disappointed with the customer service all I was asking was for the club logo to be added,Entripy Custom Clothing
A076,The quality is not bad but the customer service is terrible This is not the first time I have issues so will no longer use them They would not let me modify my order as i needed to add more items  under the pretext its in production but the last time I order it took months to receive my golf shirt because they are special order They also do not honor the discount they advertised on their website,Entripy Custom Clothing
A077,Best print on demand company I have used Amazing service  amazing follow up reminders of orders forgotten in the approval process Mr Brar the owner took the time to contact me and help me solve my problems Thank you,Entripy Custom Clothing
A078,Terrible customer service Ordered blue polo shirts 6 months ago and then green ones 3 weeks ago The logo on the green shirts is much smaller than the blue shirts even though its a repeat order and I never made any changes to the logo Contacted customer service and was told by Anna that this was my fault since I approved the order Such arrogance Will take my business elsewhere in the future,Entripy Custom Clothing
A079,I ordered hats for a conference  was guaranteed they would make it on time Day after day the order was delayed by their production department I reminded them daily for two weeks and was assured they would make it on time The hats finally arrived the day the conference ended The hats were shoddily embroidered Meanwhile  seeing the writing on the wall  I ordered backups last minute from a local company Those were completed on time and look excellent This was my fourth order Ive had one good order out of four I will never order from Entripy again Nothing but lip service,Entripy Custom Clothing
A080,Daughtereen from customer service was very nice  helpful and able to solve my concern quickly Will buy again,Entripy Custom Clothing
A081,My experience with Entripy has been very good Custom orders delivered exactly when expected and the quality of the clothing and prints has been perfect No complaints at all and will continue to use them for custom clothing orders,Entripy Custom Clothing
A082,After about 7 years of dealing with these guys I have to say  stay away Do you like delayed orders? What about forgotten orders? Or orders that were sent to their print on demand department heat transfer printing even though I paid for screen printing What about calling their support line and getting told no problem we are rushing this order and then You find out the order wasnt rushed in fact it was still sitting in after 2 months The worst customer service I have ever received when buying branded apparel Just find a company that wants to actually support their customers and help them get what they paid for Its ok when the company makes an error its not a big deal but when they lie and delay you you further?? Why?? Not a good choice unless you dont mind waiting and getting the run around,Entripy Custom Clothing
A083,"Outstanding service from the initial phone call  to placing the order to picking it up Very friendly and extremely helpful and the final product exceeded my expectations And the price was very reasonable  the best part
Thank you very much  I will be back",Entripy Custom Clothing
